monument,monumentLabel,countryLabel,styleLabel
http://www.wikidata.org/entity/Q131555168,Epitaph für Jost Stumpf und seine Ehefrau Susanna Bücking,Германия,барокко
http://www.wikidata.org/entity/Q132561980,Epitaph für Jürgen Wackerbarth und seine Frau Ursula Vieregg,Германия,искусство Возрождения
http://www.wikidata.org/entity/Q132666517,Epitaph für die Familie Trotha,Германия,искусство Возрождения
http://www.wikidata.org/entity/Q134520839,Epitaph für Hans Christoph von Absberg,Германия,искусство Возрождения
http://www.wikidata.org/entity/Q134719249,Epitaph für Reichart und Anna Klieber,Германия,искусство Возрождения
http://www.wikidata.org/entity/Q134726096,Epitaph für vier Domherren aus der Familie von Eyb,Германия,готика
http://www.wikidata.org/entity/Q134726590,Epitaph für Marquard Wilhelm von Schönborn,Германия,рококо
http://www.wikidata.org/entity/Q134726930,"Epitaph für Johann Laurentius, Johann, Hieronymus und Johann Hieronymus Stor von Ostrach",Германия,искусство Возрождения
http://www.wikidata.org/entity/Q134729699,Epitaph für Karl von Lyra (Liere) alias von Ymersele († 12. April 1548),Германия,искусство Возрождения
http://www.wikidata.org/entity/Q134763886,Epitaph für Adolf Occo († 24. Juli 1503),Германия,искусство Возрождения
http://www.wikidata.org/entity/Q135416350,Epitaph für Jakob Heinrichmann († 28. Juni 1561),Германия,искусство Возрождения
http://www.wikidata.org/entity/Q135426725,Lynar-Altar,Германия,искусство Возрождения
http://www.wikidata.org/entity/Q18575165,London Troops War Memorial,Великобритания,New Sculpture
http://www.wikidata.org/entity/Q111191766,stone cross at the old cemetery of Church of St. Bartholomew in Kyje,Чехия,рококо
http://www.wikidata.org/entity/Q46346,column of the Virgin Mary Immaculate in Kutná Hora,Чехия,барокко
http://www.wikidata.org/entity/Q378455,Maria column,Чехия,барокко
http://www.wikidata.org/entity/Q688614,Чумная колонна,Австрия,скульптура барокко
http://www.wikidata.org/entity/Q742362,Колонна Пресвятой Троицы,Чехия,барокко
http://www.wikidata.org/entity/Q6648218,Pillar of the Plague,Чехия,барокко
http://www.wikidata.org/entity/Q12035570,Marian plague column in Hradčany,Чехия,барокко
http://www.wikidata.org/entity/Q37340614,Holy Trinity Column in Karlovy Vary,Чехия,барокко
http://www.wikidata.org/entity/Q38036678,"Statue of Saint Joseph, Charles Square",Чехия,барокко
http://www.wikidata.org/entity/Q38049680,Maria column in Polička,Чехия,барокко
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм
http://www.wikidata.org/entity/Q38144892,Maria column in Třebechovice pod Orebem,Чехия,барокко
http://www.wikidata.org/entity/Q38228467,Maria column in Znojmo,Чехия,барокко
http://www.wikidata.org/entity/Q130332488,Ансамбль «Малая земля»,Россия,социалистический реализм
http://www.wikidata.org/entity/Q24964550,Мемориал геноцида в Ньямате,Руанда,всемирное наследие
http://www.wikidata.org/entity/Q786507,Triumphpforte,Австрия,Barock
http://www.wikidata.org/entity/Q952381,Арка Сергия,Хорватия,эллинистическое искусство
http://www.wikidata.org/entity/Q3078453,Триумфальная арка «Македония»,Северная Македония,неоклассицизм
http://www.wikidata.org/entity/Q64436,Триумфальная арка,Франция,архитектура неоклассицизма
http://www.wikidata.org/entity/Q108609285,Pomník padlým příslušníkům c. a k. 11. pěšího pluku,Чехия,модерн
http://www.wikidata.org/entity/Q2480856,Gates of Paradise,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q3908938,Северные врата флорентийского Баптистерия,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q3908939,South Doors of the Florence Baptistery,Италия,готическая скульптура
http://www.wikidata.org/entity/Q668343,Спиральная дамба,США,ленд-арт
http://www.wikidata.org/entity/Q97961678,Daoiz and Velarde,Испания,историзм
http://www.wikidata.org/entity/Q108609285,Pomník padlým příslušníkům c. a k. 11. pěšího pluku,Чехия,модерн
http://www.wikidata.org/entity/Q110377545,War memorial Ledebergplein,Бельгия,ар-деко
http://www.wikidata.org/entity/Q651551,Гробница Юлия II,Италия,Высокий Ренессанс
http://www.wikidata.org/entity/Q1808677,Tomb of Pope Alexander VII,Ватикан,скульптура барокко
http://www.wikidata.org/entity/Q136350625,Pietà Haczowska,Польша,готика
http://www.wikidata.org/entity/Q3862677,Equestrian monument to Bernabò Visconti,Италия,готическая скульптура
http://www.wikidata.org/entity/Q3992615,"Tomb of Giuliano de' Medici, Duke of Nemours",Италия,Высокий Ренессанс
http://www.wikidata.org/entity/Q3992617,"Tomb of Lorenzo de' Medici, Duke of Urbino",Италия,Высокий Ренессанс
http://www.wikidata.org/entity/Q16060319,Memorial to Ippolito Merenda,Италия,барокко
http://www.wikidata.org/entity/Q16060320,Memorial to Alessandro Valtrini,Италия,барокко
http://www.wikidata.org/entity/Q20103724,tomb of Bishop Olegarius,Арагонская корона,барокко
http://www.wikidata.org/entity/Q20108891,Sepulcres per a Diego Girón de Rebolledo i els seus germans,Испания,барокко
http://www.wikidata.org/entity/Q20897993,Tomb of Pope Leo XI,Ватикан,барокко
http://www.wikidata.org/entity/Q24942415,Tomb of Pope Clement XIV,Италия,Neoclassical sculpture
http://www.wikidata.org/entity/Q27973106,Burial for Makareus,Греция,art of Classical Greece
http://www.wikidata.org/entity/Q30249533,Ark of Santa Eulalia,Испания,готическая скульптура
http://www.wikidata.org/entity/Q126182544,Tomb of Benedict XIV,Ватикан,скульптура барокко
http://www.wikidata.org/entity/Q126182544,Tomb of Benedict XIV,Ватикан,итальянская архитектура барокко
http://www.wikidata.org/entity/Q111748028,Tomb of Saint Ignatius,Италия,барокко
http://www.wikidata.org/entity/Q117762717,Tomb of Pius VII,Ватикан,Neoclassical sculpture
http://www.wikidata.org/entity/Q126417394,Grave of Fornasari,Италия,неоклассицизм
http://www.wikidata.org/entity/Q126417526,Grave of Ruggi,Италия,модерн
http://www.wikidata.org/entity/Q126417526,Grave of Ruggi,Италия,стиль либерти
http://www.wikidata.org/entity/Q126417647,Grave of Pizzoli,Италия,модерн
http://www.wikidata.org/entity/Q126417647,Grave of Pizzoli,Италия,стиль либерти
http://www.wikidata.org/entity/Q126417669,Grave of Alvisi,Италия,модерн
http://www.wikidata.org/entity/Q126417669,Grave of Alvisi,Италия,стиль либерти
http://www.wikidata.org/entity/Q126842324,Tomb of Paul III,Ватикан,итальянская скульптура эпохи Возрождения
http://www.wikidata.org/entity/Q473237,Памятник Бартоломео Коллеони (Венеция),Италия,итальянское Возрождение
http://www.wikidata.org/entity/Q473237,Памятник Бартоломео Коллеони (Венеция),Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q12055205,Statue of Saint George at Prague Castle,Чехия,готика
http://www.wikidata.org/entity/Q66052395,Jezdecká socha svatého Jiří v Křimicích,Чехия,барокко
http://www.wikidata.org/entity/Q27514318,Placa d'homenatge al mestre Viñas,Испания,модерн
http://www.wikidata.org/entity/Q27651971,Placa commemorativa a Joaquim de Sagrera,Испания,модерн
http://www.wikidata.org/entity/Q30240050,Làpida amb els noms de donadors de la BMVB inv 9318,Испания,модерн
http://www.wikidata.org/entity/Q30240083,Làpida amb els noms dels donadors de la BMVB inv. 9319,Испания,модерн
http://www.wikidata.org/entity/Q30240393,Placa inv 8068,Испания,модерн
http://www.wikidata.org/entity/Q122973038,Arab Plaque of the Centennial,Аргентина,модернизм
http://www.wikidata.org/entity/Q122973038,Arab Plaque of the Centennial,Аргентина,Mahjar
http://www.wikidata.org/entity/Q136665044,płyta erekcyjna książąt Filipa II i Franciszka,Польша,маньеризм
http://www.wikidata.org/entity/Q688614,Чумная колонна,Австрия,скульптура барокко
http://www.wikidata.org/entity/Q2896261,Хираизуми,Япония,Pure Land worship
http://www.wikidata.org/entity/Q4366595,Погодинская изба,Россия,русский стиль
http://www.wikidata.org/entity/Q10378817,Teatro Castro Alves,Бразилия,архитектурный модернизм
http://www.wikidata.org/entity/Q2253879,Hypogeum of the Volumnus family,Италия,этрусское искусство
http://www.wikidata.org/entity/Q2104865,Porta della Carta,Италия,готическая архитектура
http://www.wikidata.org/entity/Q30251153,Portalada,Испания,модерн
http://www.wikidata.org/entity/Q132587412,Portail de Saint-Loup-de-Naud,Франция,готика
http://www.wikidata.org/entity/Q134467956,Sacristy portal of Mariä Himmelfahrt (Berg),Германия,готика
http://www.wikidata.org/entity/Q134606529,Portal of Église Saint-Martial (Deneuille-les-Mines),Франция,романская архитектура
http://www.wikidata.org/entity/Q117383214,O anjo da morte,Бразилия,модерн
http://www.wikidata.org/entity/Q118206745,Могила Александра Матвеевича Матросова(1924-1943 гг.) (Великие Луки),Россия,социалистический реализм
http://www.wikidata.org/entity/Q9202,Статуя Свободы,США,неоклассицизм
http://www.wikidata.org/entity/Q41553,Колосс Родосский,Греция,эллинистическая скульптура
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,Бразилия,ар-деко
http://www.wikidata.org/entity/Q470763,Монумент африканского возрождения,Сенегал,социалистический реализм
http://www.wikidata.org/entity/Q543753,Памятник Сталину,Венгрия,социалистический реализм
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,Россия,ар-деко
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,Россия,социалистический реализм
http://www.wikidata.org/entity/Q805445,Christ the King statue,Колумбия,ар-деко
http://www.wikidata.org/entity/Q17635755,"Nio at the Nandaimon, Todaiji",Япония,Кэй
http://www.wikidata.org/entity/Q106504831,Christ the Protector,Бразилия,ар-деко
http://www.wikidata.org/entity/Q21099740,Ротонда парка Монсо,Франция,архитектура неоклассицизма
http://www.wikidata.org/entity/Q672444,Медный всадник,Россия,рококо
http://www.wikidata.org/entity/Q3220192,Поцелуй,Франция,абстракционизм
http://www.wikidata.org/entity/Q3220192,Поцелуй,Франция,модернизм
http://www.wikidata.org/entity/Q15716339,Chaufferie avec cheminée,Франция,абстракционизм
http://www.wikidata.org/entity/Q20672521,Serpentine rouge,Франция,современное искусство
http://www.wikidata.org/entity/Q20672521,Serpentine rouge,Франция,концептуальное искусство
http://www.wikidata.org/entity/Q79961,статуя Христа-Искупителя,Бразилия,ар-деко
http://www.wikidata.org/entity/Q543753,Памятник Сталину,Венгрия,социалистический реализм
http://www.wikidata.org/entity/Q587106,Памятник Шопену у Варшаве,Польша,модерн
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,Россия,ар-деко
http://www.wikidata.org/entity/Q627114,Рабочий и колхозница,Россия,социалистический реализм
http://www.wikidata.org/entity/Q805445,Christ the King statue,Колумбия,ар-деко
http://www.wikidata.org/entity/Q124338411,Ancona dell'Incoronazione,Италия,итальянское Возрождение
http://www.wikidata.org/entity/Q2288815,Монумент Колумбу,Испания,Realism sculpture
http://www.wikidata.org/entity/Q1053483,Колоннада Сан-Лоренцо,Италия,язычество
http://www.wikidata.org/entity/Q3555769,Vercingetorix Monument,Франция,романтизм
http://www.wikidata.org/entity/Q6023164,"Monument to the Chasseurs à Cheval of Alcántara, Valladolid",Испания,Realism sculpture
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм
http://www.wikidata.org/entity/Q11823220,Aleksander Fredro Monument in Wrocław,Польша,неоклассицизм
http://www.wikidata.org/entity/Q11850682,Памятник Александру II,Финляндия,реализм
http://www.wikidata.org/entity/Q11918683,El casteller,Испания,реализм
http://www.wikidata.org/entity/Q11937556,Monument als Xiquets de Valls,Испания,модерн
http://www.wikidata.org/entity/Q11937556,Monument als Xiquets de Valls,Испания,каталонский модерн
http://www.wikidata.org/entity/Q12046330,Statue of Saint Wenceslas,Чехия,барокко
http://www.wikidata.org/entity/Q16328198,Лев из Амфиполиса,Греция,эллинистическое искусство
http://www.wikidata.org/entity/Q16590659,León del Malecón,Испания,искусство барокко в Испании
http://www.wikidata.org/entity/Q12723086,Bustul generalului Carol Davila,Румыния,классицизм
http://www.wikidata.org/entity/Q12723086,Bustul generalului Carol Davila,Румыния,академизм
http://www.wikidata.org/entity/Q18396427,Царские ворота,Россия,русский стиль
http://www.wikidata.org/entity/Q19257125,Monument a Milà i Fontanals,Испания,модерн
http://www.wikidata.org/entity/Q19368112,Monument del Lleó,Испания,модерн
http://www.wikidata.org/entity/Q18156044,A Frederic Soler,Испания,каталонский модерн
http://www.wikidata.org/entity/Q20860978,Jan Hus Memorial,Чехия,модерн
http://www.wikidata.org/entity/Q25349492,Monument à Joan Pere Fontanella,Испания,модерн
http://www.wikidata.org/entity/Q25349492,Monument à Joan Pere Fontanella,Испания,реализм
http://www.wikidata.org/entity/Q23782675,Cinquè misteri de Dolor,Испания,модерн
http://www.wikidata.org/entity/Q23811245,Monument als Caiguts,Испания,модерн
http://www.wikidata.org/entity/Q24023050,A Ramon Berenguer III,Испания,модерн
http://www.wikidata.org/entity/Q24023050,A Ramon Berenguer III,Испания,академизм
http://www.wikidata.org/entity/Q24666136,Monument for Albert Einstein,Германия,конкретное искусство
http://www.wikidata.org/entity/Q24666180,Berlin dankt Frankreich,Германия,конкретное искусство
http://www.wikidata.org/entity/Q26835901,Monument a Bartomeu Amat,Испания,модерн
http://www.wikidata.org/entity/Q26836425,Ramon Berenguer III el Gran,Испания,модерн
http://www.wikidata.org/entity/Q26836489,Sant Jordi 175,Испания,модерн
http://www.wikidata.org/entity/Q52696123,Памятник Карлу Марксу (Трир),Германия,импрессионизм
http://www.wikidata.org/entity/Q52696123,Памятник Карлу Марксу (Трир),Германия,реализм
http://www.wikidata.org/entity/Q47879701,La Belle Otero,Испания,Прекрасная эпоха
http://www.wikidata.org/entity/Q96279540,Monument to Adolfo Guiard,Испания,архитектура ар-деко
http://www.wikidata.org/entity/Q108615270,Monument to Johann Michael Kahler,Чехия,классицизм
http://www.wikidata.org/entity/Q108822419,Democracy Monument (Khon Kaen),Таиланд,ар-деко
http://www.wikidata.org/entity/Q108822419,Democracy Monument (Khon Kaen),Таиланд,Khana Ratsadon's architecture
http://www.wikidata.org/entity/Q108838452,Glorieta de las mujeres que luchan,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q110897262,Palazzo Perogalli,Италия,Движение за конкретное искусство
http://www.wikidata.org/entity/Q111748028,Tomb of Saint Ignatius,Италия,барокко
http://www.wikidata.org/entity/Q112032217,Amazon Monument,Бенин,социалистический реализм
http://www.wikidata.org/entity/Q114642698,"Nicolaus Copernicus Monument, Chorzów",Польша,социалистический реализм
http://www.wikidata.org/entity/Q113383728,Chapel of Saint Francis Xavier (Il Gesù),Италия,Контрреформация
http://www.wikidata.org/entity/Q114842524,Nosotros afuera,Аргентина,концептуальное искусство
http://www.wikidata.org/entity/Q114845838,Hito de frontera,Аргентина,поп-арт
http://www.wikidata.org/entity/Q120835860,Antimonumento +72,Мексика,anti-monumentalism
http://www.wikidata.org/entity/Q117421938,Памятник М. Горькому (Выборг),Россия,социалистический реализм
http://www.wikidata.org/entity/Q118206745,Могила Александра Матвеевича Матросова(1924-1943 гг.) (Великие Луки),Россия,социалистический реализм
http://www.wikidata.org/entity/Q118206746,Бюст дважды Героя Советского Союза К.К. Рокоссовского (Великие Луки),Россия,социалистический реализм
http://www.wikidata.org/entity/Q123964267,"Памятник З.А. Космодемьянской, Герою Советского Союза",Россия,социалистический реализм
http://www.wikidata.org/entity/Q123964268,"Памятник А.М. Матросову, Герою Советского Союза",Россия,социалистический реализм
http://www.wikidata.org/entity/Q123964284,Мальчик с рыбкой,Россия,социалистический реализм
http://www.wikidata.org/entity/Q124324535,Слава покорителям космоса!,Россия,социалистический реализм
http://www.wikidata.org/entity/Q124795478,Место гибели Матросова Александра Матвеевича,Россия,социалистический реализм
http://www.wikidata.org/entity/Q123236911,Antimonumento Voces abrazando voces,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123239300,"Antimonumenta, Monumenta Viva",Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123245483,Antimonumenta,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123245795,Memorial en honor a las víctimas de feminicidio,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123246053,Antimonumenta,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123252536,ABC Anti-monument,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123290352,Antimonumento al Tren Maya,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q131283678,Cruz de Clavos,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q470763,Монумент африканского возрождения,Сенегал,социалистический реализм
http://www.wikidata.org/entity/Q688214,Умирающий лев,Швейцария,неоклассицизм
http://www.wikidata.org/entity/Q782783,Австралийский военный мемориал,Австралия,ар-деко
http://www.wikidata.org/entity/Q6022993,Monument to Columbus,Испания,Realism sculpture
http://www.wikidata.org/entity/Q6023164,"Monument to the Chasseurs à Cheval of Alcántara, Valladolid",Испания,Realism sculpture
http://www.wikidata.org/entity/Q6023268,Monument to Count Ansúrez,Испания,Realism sculpture
http://www.wikidata.org/entity/Q6830208,Мемориал Майкла Фарадея,Великобритания,брутализм
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм
http://www.wikidata.org/entity/Q11850682,Памятник Александру II,Финляндия,реализм
http://www.wikidata.org/entity/Q12011313,Emiliekilde,Дания,классицизм
http://www.wikidata.org/entity/Q17463646,Grafmonument A.J. Schelling,Нидерланды,архитектура неоклассицизма
http://www.wikidata.org/entity/Q17510112,Статуя Эрота на Пикадилли,Великобритания,New Sculpture
http://www.wikidata.org/entity/Q17600693,Monument scheiding van Maas en Waal,Нидерланды,ар-деко
http://www.wikidata.org/entity/Q18159833,Edith Cavell Memorial,Великобритания,New Sculpture
http://www.wikidata.org/entity/Q18595368,Quintin and Alice Hogg Memorial,Великобритания,New Sculpture
http://www.wikidata.org/entity/Q23927400,Louisekilden,Дания,неоклассицизм
http://www.wikidata.org/entity/Q56206369,Queen Victoria Memorial,Австралия,модерн
http://www.wikidata.org/entity/Q97961678,Daoiz and Velarde,Испания,историзм
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q1131263,Коронование Марии,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q1761496,Мадонна с младенцем и шестью святыми,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q2714237,Благовещение Честелло,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q3210257,Алтарь Барди,Германия,Раннее Возрождение
http://www.wikidata.org/entity/Q3213778,Madonna and Child with Saint John the Baptist and Two Angels,Италия,Раннее Возрождение
http://www.wikidata.org/entity/Q26998138,Надгробие Альбрехта Гаштольда,Великое княжество Литовское,скульптура Ренессанса
http://www.wikidata.org/entity/Q78795650,pomník Reussů v Bílině-Kyselce,Чехия,эклектика
http://www.wikidata.org/entity/Q109658365,Antimonumenta,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q113697357,Antimonumento +43,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123367183,Tomb of Baldwin V,Иерусалимское королевство,Искусство крестоносцев
http://www.wikidata.org/entity/Q134268835,Grabplatte für Ulrich von Bettendorf († 1451) und seine Frau Elisabeth von Nippenburg († 1454),Германия,готика
http://www.wikidata.org/entity/Q115857956,Monument to Manuel Agustín Heredia,Испания,неоклассицизм
http://www.wikidata.org/entity/Q115857956,Monument to Manuel Agustín Heredia,Испания,романтизм
http://www.wikidata.org/entity/Q119234532,49 ABC,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q119238962,David y Miguel,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q119260365,Antimonumento 5J,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q119321658,Antimonumento +65,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q120653766,Memorial de la Guardería ABC,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q120835860,Antimonumento +72,Мексика,anti-monumentalism
http://www.wikidata.org/entity/Q15934337,Equestrian statuette of Charlemagne,Франция,искусство Каролингов
http://www.wikidata.org/entity/Q123228277,Glorieta de las y los desaparecidos,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123236911,Antimonumento Voces abrazando voces,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123239300,"Antimonumenta, Monumenta Viva",Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123245795,Memorial en honor a las víctimas de feminicidio,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123246053,Antimonumenta,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q123252536,ABC Anti-monument,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q124424094,Wiertz Memorial,Бельгия,неоклассицизм
http://www.wikidata.org/entity/Q133812638,Antimonumenta,Мексика,Anti-monuments in Mexico
http://www.wikidata.org/entity/Q20888295,Creu commemorativa (Jorba),Испания,модерн
http://www.wikidata.org/entity/Q20888295,Creu commemorativa (Jorba),Испания,каталонский модерн
http://www.wikidata.org/entity/Q38137233,Viniční sloup,Чехия,барокко
http://www.wikidata.org/entity/Q1808677,Tomb of Pope Alexander VII,Ватикан,скульптура барокко
http://www.wikidata.org/entity/Q3323370,Héloïse and Abélard's tomb,Франция,неоготика
http://www.wikidata.org/entity/Q3992617,"Tomb of Lorenzo de' Medici, Duke of Urbino",Италия,Высокий Ренессанс
http://www.wikidata.org/entity/Q20897993,Tomb of Pope Leo XI,Ватикан,барокко
http://www.wikidata.org/entity/Q24942415,Tomb of Pope Clement XIV,Италия,Neoclassical sculpture
http://www.wikidata.org/entity/Q27926527,Stele of Aristion,Греция,эллинистическое искусство
http://www.wikidata.org/entity/Q96782607,Loutrophoros of Olympichos,Греция,art of Classical Greece
http://www.wikidata.org/entity/Q126417526,Grave of Ruggi,Италия,модерн
http://www.wikidata.org/entity/Q126417526,Grave of Ruggi,Италия,стиль либерти
http://www.wikidata.org/entity/Q126417647,Grave of Pizzoli,Италия,модерн
http://www.wikidata.org/entity/Q126417647,Grave of Pizzoli,Италия,стиль либерти
http://www.wikidata.org/entity/Q126417669,Grave of Alvisi,Италия,модерн
http://www.wikidata.org/entity/Q126417669,Grave of Alvisi,Италия,стиль либерти
http://www.wikidata.org/entity/Q126842324,Tomb of Paul III,Ватикан,итальянская скульптура эпохи Возрождения
http://www.wikidata.org/entity/Q132136772,Pilar-estela de l'Arener de Montfort,Испания,иберское искусство
http://www.wikidata.org/entity/Q134161964,Grabmal für Johann Friedrich Strup von Gelnhausen († 1721) und Johanna Magdalena geborene Frays († 1724),Германия,барокко
http://www.wikidata.org/entity/Q134268966,Grabmal für Hans von Bettendorf († 1556),Германия,искусство Возрождения
http://www.wikidata.org/entity/Q126182544,Tomb of Benedict XIV,Ватикан,скульптура барокко
http://www.wikidata.org/entity/Q126182544,Tomb of Benedict XIV,Ватикан,итальянская архитектура барокко
http://www.wikidata.org/entity/Q126417394,Grave of Fornasari,Италия,неоклассицизм
http://www.wikidata.org/entity/Q117762717,Tomb of Pius VII,Ватикан,Neoclassical sculpture
http://www.wikidata.org/entity/Q15883357,Ver Huell Bench,Нидерланды,ампир
http://www.wikidata.org/entity/Q51764267,Cubist Lamp Post,Чехия,кубизм
http://www.wikidata.org/entity/Q180012,Бехистунская надпись,Иран,искусство державы Ахеменидов
http://www.wikidata.org/entity/Q838548,Tang-e Vashi relief,Иран,Каджарское искусство
